RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,HMS to DSS syntax,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 41 Junction,Subbasin,COON CREEK 41,CC 41 - Junction,CC 41 - JUNCTION,3418.18,,3418.18,3237.6,3041.6,2856.24,2754.34*,2652.43,2551.47*,2450.5,2348.08*,2245.66,2134.39,1935.08,1832.06*,1729.04,1559.81,1453.36*,1346.91,1164.92,1102.48,945.03,857.33,735.36* ,613.39,493.75,409.51,300.28,214.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC B Reach 3,Junction,CC41,TC B Reach 3,TC B REACH 3,5245.34,,5245.34,5095.21*,4945.07*,4794.94,4637.78*,4480.63*,4323.47,4151.54*,3979.60*,3807.67,3640.56*,3473.45*,3306.34,3185.89*,3065.43,2894.29,2768.26,2591.98*,2415.70*,2239.42,2084.67*,1929.91*,1775.16,1601.51*,1427.87*,1254.22,1056.41*,858.61* ,660.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 14 - Junction,Subbasin,COON CREEK 14,CC 14 - Junction,CC 14 - JUNCTION,2493.1,,2493.1,2343.65,2182.47,1991.42,1882.22*,1773.02,1575.38,1471.86*,1368.33,1202.5,1093.28*,984.06,850.94* ,717.81,567.72,411.77,377.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC B Reach 4,Junction,CC14,TC B Reach 4,TC B REACH 4,15665.35,,15665.35,15495.4*,15325.4*,15155.5*,14985.6*,14815.7*,14645.78,14464.9*,14284.1*,14103.3*,13922.5*,13741.7*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC B Reach 4,Subbasin,Timber Coulee B,TC B - D,TC B - D,13560.94,,13560.94,13391.7*,13222.6*,13053.4*,12884.3*,12715.14,12524.0*,12332.9*,12141.8*,11950.8*,11759.72,11592.7*,11425.8*,11258.8*,11091.9*,10924.9*,10758.03,10588.5*,10419.05,10282.3,10243.93,10075.7*,9907.50*,9739.28*,9571.06*,9402.85*,9234.63,9037.19*,8839.75*,8642.31*,8444.87*,8247.43,8049.87*,7852.30*,7654.74*,7457.17*,7259.61,7092.92*,6926.23*,6759.54*,6592.84*,6426.15*,6259.46,6062.68*,5865.91*,5669.13*,5472.36*,5275.58,5076.16*,4876.74*,4677.32*,4477.90*,4278.48,4110.16*,3941.85*,3773.53*,3605.21*,3436.90*,3268.58,3071.02*,2873.46*,2675.89*,2478.33*,2280.77,2085.01*,1889.25*,1693.48*,1497.72*,1301.96,1133.07*,964.17,791.2,659.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - TC F,Junction,TC C & D,Junction - TC F,JUNCTION - TC F,8087.76,"Timber Coulee C, Timber Coulee D",8087.76,7912.54*,7737.31*,7562.09*,7386.87*,7211.64*,7036.42,6843.85*,6651.28*,6458.71*,6266.14*,6073.57,5905.92*,5738.26*,5570.61*,5402.95*,5235.30*,5067.64,4892.94*,4718.23*,4543.53*,4368.83*,4194.12*,4019.42,3847.35*,3675.29*,3503.22*,3331.16*,3159.09,2962.92*,2766.76*,2570.59*,2374.43*,2178.26,2003.15*,1828.03*,1652.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC53 - TC E,Subbasin,COON CREEK 53,CC53 - TC E,CC53 - TC E,12141.36,,12141.36,12032.46,11833.1*,11633.76,11199.61,11009.6*,10819.67,10620.2*,10420.77,10285.7*,10150.7*,10015.75,9824.35*,9632.95,9491.91*,9350.88*,9209.84,9015.32*,8820.81,8622.18*,8423.55,8285.73*,8147.90*,8010.08,7819.78*,7629.47,7490.41*,7351.34*,7212.28,7078.90*,6945.51*,6812.13,6626.52*,6440.91,6299.90*,6158.90*,6017.89,5883.30*,5748.72*,5614.13,5427.47*,5240.8,5091.67*,4942.53*,4793.4,4659.18*,4524.97*,4390.75,4197.31*,4003.86,3857.47*,3711.09*,3564.7,3460.53,3335.24,3206.99,3066.04*,2925.08*,2784.13,2589.25*,2394.37,2258.65*,2122.93*,1987.21,1788.14*,1589.06,1392.57*,1196.07,1006.76*,817.44,715.22,566.75,460.13,384.19,228.31,88.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - TC G,Junction,TC E & F,Junction - TC G,JUNCTION - TC G,15400.45,"Timber Coulee E, Timber Coulee F",15400.45,15202.3*,15004.2*,14806.1*,14608.0*,14410,14244.1*,14078.3*,13912.5*,13746.77,13620.3*,13493.97,13364.03,13224.08,13051.2*,12878.4*,12705.6*,12532.8*,12360.0*,12187.28,11995.2*,11803.1*,11611.0*,11418.9*,11226.9*,11034.83,10844.7*,10654.6*,10464.5*,10274.4*,10084.3,9904.57*,9724.83*,9545.10*,9365.37*,9185.63*,9005.9,8840.29*,8674.69*,8509.08*,8343.48*,8177.87,8011.06*,7844.24*,7677.43*,7510.62*,7343.80*,7176.99,6995.49*,6813.99*,6632.49*,6450.99,6301.96*,6152.94*,6003.91,5823.07*,5642.22*,5461.38*,5280.53*,5099.69,4932.15*,4764.60*,4597.06*,4429.52*,4261.97*,4094.43,3901.94*,3709.46*,3516.97*,3324.49*,3132,2938.77*,2745.55*,2552.32*,2359.09,2174.93*,1990.77*,1806.60*,1622.44*,1438.28,1267.16*,1096.04*,924.93* ,753.81* ,582.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC & TC - Junction,Junction,UCC D & TC G,UCC & TC - Junction,UCC & TC - JUNCTION,12796.04,"Timber Coulee G, Upper Coon Creek D",12796.04,12608.7*,12421.5*,12234.2*,12047.0*,11859.79,11678.0*,11496.3*,11314.5*,11132.8*,10951.1*,10769.4*,10587.6*,10405.9*,10224.2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC & TC - Junction,Junction,MCC G & H,MCC H reach 1,MCC H REACH 1,10042.47,Middle Coon Creek G,10042.47,9852.58*,9662.70*,9472.81*,9282.92,9116.59*,8950.26*,8783.93,8707.53,8558.55,8390.15*,8221.75*,8053.36*,7884.96*,7716.56,7519.65*,7322.73*,7125.82*,6928.91*,6731.99*,6535.08,6367.33*,6199.57*,6031.82*,5864.07*,5696.31*,5528.56,5338.22*,5147.88*,4957.54*,4767.20*,4576.86,4405.53*,4234.20*,4062.87*,3891.53*,3720.20*,3548.87,3376.32*,3203.76*,3031.21*,2858.65*,2686.1,2504.13*,2322.15*,2140.18*,1958.21*,1776.23*,1594.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
