RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC WFK J - Junction,Subbasin,Knapp Creek - WFK J,KC WFK J - Junction,3277.91,,3277.91,3180.14*,3082.36*,2984.59,2895.75*,2806.90*,2718.06,2635.72*,2553.38*,2471.03*,2388.69,2316.28*,2243.87*,2171.46,2072.09*,1972.72*,1873.35,1791.04*,1708.73*,1626.42,1538.94*,1451.47*,1363.99*,1276.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction 2 - Junc,Junction,KC WFK J & Junction,Junction 2- Junction 3,4687.52,,4687.52,4532.07*,4376.63*,4221.18,4061.74*,3902.29*,3742.85,3586.28*,3429.70*,3273.13,3134.81*,2996.50*,2858.18,2714.76*,2571.35*,2427.93,2249.00*,2070.06,1983.85,1864.21,1691.13*,1518.05*,1344.97,1186.40*,1027.83*,869.26,712.11* ,554.96* ,397.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC WFK M - Junct,Subbasin,Knapp Creek - WFK M,KC WFK M - Junction,3751.15,,3751.15,3660.62*,3570.10*,3479.57,3387.85*,3296.13*,3204.41,3113.76*,3023.12*,2932.47,2833.14*,2733.80*,2634.47,2544.64*,2454.81*,2364.97*,2275.14,2183.95*,2092.76*,2001.58*,1910.39*,1819.2,1735.18*,1651.15*,1567.13*,1483.10*,1399.08,1322.62*,1246.17*,1169.71*,1093.25,996.05* ,898.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J - KC WFK K,Junction,KC WFK M & Junction,Junction - KC WFK K,5128.21,,5128.21,4961.09*,4793.97*,4626.85,4452.19*,4277.53*,4102.87,3942.48*,3782.09*,3621.7,3468.89*,3316.08*,3163.27,3061.73,2878.63*,2695.52,2513.19*,2330.86*,2148.53,1975.11*,1801.68*,1628.26,1469.87*,1311.49*,1153.1,987.38* ,821.66* ,655.95* ,490.23* ,324.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 4 - Junction,Subbasin,West_Fork Kickapoo 4,WFK 4 - Junction,4660.94,,4660.94,4566.01*,4471.08,4404.28*,4337.49*,4270.69,4188.06*,4105.43,4032.69*,3959.95*,3887.21,3795.19*,3703.16,3610.39*,3517.61,3426.69*,3335.76,3264.28*,3192.81*,3121.33,3032.20*,2943.06,2873.70*,2804.34*,2734.98,2644.78*,2554.59*,2464.39,2364.85*,2265.31,2174.88*,2084.44,2017.66*,1950.88*,1884.1,1808.43*,1732.76*,1657.09,1588.99*,1520.90*,1452.8,1376.58*,1300.37*,1224.15,1154.32*,1084.49*,1014.66,926.28* ,837.89,753.07* ,668.24,529.72,473.18* ,416.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 5 - Junction,Subbasin,West Fork Kickapoo 5,WFK 5 - Junction,2048.78,,2048.78,1966.30*,1883.82,1788.09*,1692.35,1604.82*,1517.28*,1429.75,1342.05*,1254.35*,1166.66*,1078.96*,991.26,910.67* ,830.08* ,749.48* ,668.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - SB,Junction,WFK 4 & WFK 5,Junction - SB,11827.62,,11827.62,11691.7*,11555.9*,11420.08,11300.8*,11181.5*,11062.28,10925.4*,10788.5*,10651.64,10515.6*,10379.5*,10243.56,10115.6*,9987.71*,9859.78,9751.37*,9642.95*,9534.54,9403.31*,9272.08*,9140.85,9009.71*,8878.56*,8747.42,8608.40*,8469.38*,8330.36,8195.34*,8060.33*,7925.31,7833.29*,7741.26*,7649.24,7579.76*,7510.28,7372.70*,7235.12*,7097.54*,6959.96,6846.82*,6733.69*,6620.55,6481.77*,6342.99*,6204.21,6059.63*,5915.05*,5770.47,5630.37*,5490.28*,5350.18*,5210.08,5092.00*,4973.93*,4855.85*,4737.77,4604.42*,4471.06*,4337.71,4205.86*,4074.02*,3942.17,3802.81*,3663.46*,3524.1,3407.26*,3290.43*,3173.59*,3056.75,2926.11*,2795.47*,2664.83,2552.89*,2440.95*,2329.01,2195.97*,2062.92*,1929.88,1796.98*,1664.07*,1531.17,1394.14*,1257.1,1123.10*,989.10* ,855.10* ,721.10* ,587.10* ,453.1,,,,,,,,,,,,,,,,,,,,,,,,,
Seas KC WFK,Junction,SB & KC WFK,Seas & KC WFK - WFK B,1446.65,"Seas Branch, Knapp Creek - WFK K",1446.65,1276.78*,1106.91*,937.04,769.70* ,602.36,483.65,281.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK A - Junction,Subbasin,West Fork Kickapoo A,WFK A - Junction,5600.6,,5600.6,5521.07*,5441.54*,5362.01*,5282.48,5209.72*,5136.97*,5064.21,4965.22*,4866.24*,4767.25,4685.67*,4604.09*,4522.51*,4440.93,4361.07*,4281.20*,4201.34*,4121.47,4035.53*,3949.59*,3863.64*,3777.7,3681.80*,3585.90*,3490,3396.06*,3302.12*,3208.18*,3114.24*,3020.3,2929.98*,2839.66*,2749.33*,2659.01*,2568.69,2481.99*,2395.29*,2308.58*,2221.88*,2135.18,2050.03*,1964.88*,1879.72*,1794.57*,1709.42,1622.07*,1534.73*,1447.38*,1360.03*,1272.69*,1185.34,1095.24*,1005.14*,915.05* ,824.95* ,734.85,645.15* ,555.45* ,465.75* ,376.05* ,286.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK B Junctions,Junction,WFK A & WFK B,WFK B Junctions,15905.06,,15905.06,15713.2*,15521.4*,15329.7*,15137.9*,14946.12,14773.0*,14599.9*,14426.8*,14253.8*,14080.72,13899.1*,13717.6*,13536.0*,13354.5*,13172.9*,12991.39,12832.9*,12674.4*,12516,12347.7*,12179.5*,12011.38,11848.9*,11686.6*,11524.2*,11361.8*,11199.42,11032.3*,10865.3*,10698.3*,10531.3*,10364.2*,10197.24,10027.4*,9857.56*,9687.73*,9517.89*,9348.05*,9178.21,8982.31*,8786.40*,8590.50*,8394.60*,8198.69,8025.48*,7852.27*,7679.06*,7505.85*,7332.64*,7159.43,7051.14*,6942.85,6614.28,6449.45*,6284.63*,6119.8,5946.99*,5774.17*,5601.36*,5428.54,5256.85*,5085.16*,4913.47*,4741.77*,4570.08*,4398.39*,4226.7,4034.95*,3843.20*,3651.45*,3459.70*,3267.95*,3076.20*,2884.45*,2692.7,2526.08*,2359.46*,2192.84,2018.57*,1844.31*,1670.04*,1495.77*,1321.50*,1147.24*,972.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK D - Junction,Subbasin,West Fork Kickapoo D,WFK D - Junction,1052.29,,1052.29,966.37* ,880.45* ,794.53* ,708.60* ,622.68* ,536.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK B - Junction,Junction,WFK D & B,WFK B - Junction,3338.29,West Fork Kickapoo B,3338.29,3202.77*,3067.24,2870.33,2683.46*,2496.58,2306.38*,2116.18*,1925.98*,1735.78*,1545.57*,1355.37*,1165.17*,974.97,802.65* ,630.33* ,458.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK C - Junction,Subbasin,West Fork Kickapoo C,WFK C - Junction,5313.02,,5313.02,5222.73*,5132.45*,5042.16*,4951.87*,4861.59*,4771.3,4677.58*,4583.87*,4490.15*,4396.43,4312.36*,4228.29*,4144.21*,4060.14*,3976.07,3882.22*,3788.37*,3694.51*,3600.66*,3506.81*,3412.96*,3319.10*,3225.25*,3131.4,3036.08*,2940.76*,2845.44*,2750.12*,2654.80*,2559.48*,2464.16*,2368.84*,2273.52*,2178.2,2083.36*,1988.53*,1893.69*,1798.85*,1704.01*,1609.18*,1514.34,1418.82*,1323.30*,1227.79*,1132.27*,1036.75*,941.23* ,845.72* ,750.20* ,654.68,565.32* ,475.95* ,386.59* ,297.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - WFK E,Junction,WFK C & E,Junction - WFK E,5325.85,,5325.85,5157.60*,4989.36*,4821.11*,4652.86,4466.53*,4280.19*,4093.86*,3907.53*,3721.19*,3534.86*,3348.53*,3162.19*,2975.86*,2789.53*,2603.19*,2416.86,2225.01*,2033.16*,1841.31*,1649.46*,1457.61*,1265.76*,1073.91*,882.06* ,690.21* ,498.36* ,306.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK F - Junction,Subbasin,West Fork Kickapoo F,WFK F - Junction,3737.3,,3737.3,3641.90*,3546.49*,3451.09*,3355.68*,3260.28*,3164.87*,3069.47,2970.86*,2872.25*,2773.63*,2675.02*,2576.41*,2477.80*,2379.18*,2280.57,2182.37*,2084.17*,1985.98*,1887.78*,1789.58*,1691.38*,1593.18*,1494.98*,1396.79*,1298.59*,1200.39*,1102.19,1003.26*,904.32* ,805.39* ,706.46* ,607.53* ,508.59* ,409.66* ,310.73* ,211.79* ,112.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - WFK G,Junction,WFK F & E,Junction - WFK G,13383.6,,13383.6,13206.6*,13029.7*,12852.8*,12675.8*,12498.9*,12322.01,12128.3*,11934.6*,11740.9*,11547.2*,11353.6*,11159.9*,10966.24,10620.42,10507.3*,10394.27,10198.8*,10003.3*,9807.87*,9612.4,9441.34*,9270.28*,9099.22*,8928.15*,8757.09*,8586.03,8400.41*,8214.80*,8029.18*,7843.57*,7657.95*,7472.34*,7286.72,7097.72*,6908.71*,6719.71*,6530.70*,6341.70*,6152.69*,5963.69*,5774.68*,5585.68*,5396.67*,5207.67*,5018.67*,4829.66,4651.81*,4473.95*,4296.10*,4118.24,3936.37*,3754.50*,3572.62*,3390.75*,3208.88,3018.32*,2827.75*,2637.19*,2446.62*,2256.06*,2065.49*,1874.93*,1684.37*,1493.8,1315.38*,1136.96*,958.53* ,780.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B A - Junction,Subbasin,Bishop A,B A - Junction,2334.44,,2334.44,2237.98*,2141.53*,2045.07*,1948.62*,1852.16*,1755.71*,1659.25,1571.06*,1482.86*,1394.67*,1306.48*,1218.28*,1130.09*,1041.89*,953.7,859.39* ,765.08* ,670.76* ,576.45* ,482.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFK 17 - Junction,Subbasin,West_Fork Kickapoo 17,WFK 17 - Junction,1020.65,,1020.65,941.58* ,862.51* ,783.43* ,704.36,645.43* ,586.5,428.18,340.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B A WFK 17,Junction,B A & WFK 17,B A & WFK 17 - B B,29422.32,,29422.32,29282.9*,29143.6*,29004.28,28882.2*,28760.2*,28638.21,28517.5*,28396.86,28303.4*,28209.97,28065.6*,27921.2*,27776.94,27659.7*,27542.4*,27425.26,27287.9*,27150.7*,27013.46,26877.4*,26741.5*,26605.56,26464.6*,26323.7*,26182.78,26057.2*,25931.78,25809.86,25626.34,25542.8*,25459.41,25324.3*,25189.2*,25054.2*,24919.17,24804.9*,24690.7*,24576.5*,24462.34,24325.7*,24189.2*,24052.6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
